ADA,LGBM,RF,XGB,Exp. Kr
4.996270282,5.250035869,5.078606599,5.115447998,5.071355909
4.87420625,4.963779054,5.000086261,5.041434765,4.711934982
4.846930664,4.866702218,4.812687438,4.68944025,4.209750628
4.86823645,5.08069206,4.9325275,4.967267513,4.729846571
4.818054384,4.809861631,4.873297408,4.874141693,5.065266731
4.957530496,4.985198589,5.074892631,5.121096611,5.375663614
4.941737725,4.946956693,5.062891311,5.127840996,5.363177902
4.883773996,4.98717054,4.913696998,4.935201645,4.83069473
4.918834629,4.934726019,5.013910266,4.993110657,5.009545318
4.860387007,4.774477461,5.040475786,5.138636112,5.426511261
4.972046588,4.98025348,5.082003117,5.21195507,5.484299839
4.973458493,4.907401446,5.106482797,5.277383804,5.480006943
4.964298349,4.87064255,5.069191159,5.23635006,5.51054501
4.913544257,5.015512409,4.9225678,5.070744514,4.879669206
4.988115777,5.292844118,5.075610512,5.187811852,5.152288344
4.914037773,5.056897206,4.938199297,5.034372807,5.274157849
4.768565436,4.666893763,4.850719567,4.778954506,4.463892989
4.290949179,4.159002864,4.345983735,3.941786289,4.416640507
4.847260847,4.906801574,4.84352541,4.733767509,4.397940009
4.833390426,4.828520041,4.907347343,4.895789146,4.895422546
5.05443276,5.079124001,5.136312137,5.121211052,5.195899652
5.054304694,5.040418412,5.083744184,5.058151245,5.11058971
5.054773626,5.29028081,5.157133589,5.228894711,5.311753861
5.032587501,5.093372777,5.097133236,5.299513817,5.222716471
